,Año,Modelo,Precio,Kms,Transmision,t_combustible,Href
96,2013,Hyundai I10,$6.300.000 CLP,92.500 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2013-hyundai-i10/CL-AD-12689409/?Cr=103
97,2015,Jeep Grand Cherokee LAREDO 4X2,$21.000.000 CLP,143.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2015-jeep-grand-cherokee-laredo-4x2/CL-AD-12156202/?Cr=104
98,2016,BMW X3 2.0 SDrive20i A,$22.900.000 CLP,95.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-bmw-x3-2-0-sdrive20i-a/CL-AD-11613970/?Cr=105
99,2019,Volkswagen Golf 2.0 TSI DSG Auto GTI,$26.990.000 CLP,46.500 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-volkswagen-golf-2-0-tsi-dsg-auto-gti/CL-AD-12614739/?Cr=106
100,2005,Jeep New Grand Cherokee,$8.200.000 CLP,130.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2005-jeep-new-grand-cherokee/CL-AD-11682161/?Cr=107
101,2021,Peugeot 2008 1.5 BlueHDI 120 HP Auto Allure Pack,$27.600.000 CLP,11.200 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2021-peugeot-2008-1-5-bluehdi-120-hp-auto-allure-pack/CL-AD-12513965/?Cr=109
102,2009,Toyota 4Runner 4.0 SR5 5 VEL 4X2 AUTO,$10.000.000 CLP,160.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2009-toyota-4runner-4-0-sr5-5-vel-4x2-auto/CL-AD-12706075/?Cr=110
103,2019,MG Mg3 1.5 Auto Comfort,$11.000.000 CLP,29.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2019-mg-mg3-1-5-auto-comfort/CL-AD-12435528/?Cr=111
104,2016,Jaguar Xe 2.0 R-Sport Auto,$26.900.000 CLP,61.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2016-jaguar-xe-2-0-r-sport-auto/CL-AD-12678770/?Cr=112
105,2018,Volkswagen Amarok 2.0 TDI Manual Trendline 4WD,$19.850.000 CLP,78.000 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2018-volkswagen-amarok-2-0-tdi-manual-trendline-4wd/CL-AD-12465066/?Cr=113
106,2017,Mitsubishi Outlander 2.4 GLX CVT 4WD,$18.600.000 CLP,100.600 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-mitsubishi-outlander-2-4-glx-cvt-4wd/CL-AD-12150770/?Cr=114
107,2017,Mercedes-Benz Cla 200 2.1 CLA 200 CDI DCT Auto,$24.000.000 CLP,55.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-mercedes-benz-cla-200-2-1-cla-200-cdi-dct-auto/CL-AD-12519193/?Cr=115
108,2017,Volvo S60 2.0 D2 Comfort Powershift,$17.490.000 CLP,81.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-volvo-s60-2-0-d2-comfort-powershift/CL-AD-12553395/?Cr=116
109,2003,BMW 325 325IA,$8.500.000 CLP,200.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2003-bmw-325-325ia/CL-AD-12569102/?Cr=117
110,2018,Ford F-150 3.5 Raptor Auto Ecoboost 4WD,$55.900.000 CLP,82.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-ford-f-150-3-5-raptor-auto-ecoboost-4wd/CL-AD-12609700/?Cr=118
111,2017,Peugeot Partner 1.6 HDI L1 90HP Manual Pack AA,$9.860.000 CLP,124.289 km,Manual,Diesel,https://www.chileautos.cl/vehiculos/detalles/2017-peugeot-partner-1-6-hdi-l1-90hp-manual-pack-aa/CL-AD-11824347/?Cr=120
112,2019,Land Rover Discovery New Discovery 3.0 V6 DSE,$54.000.000 CLP,55.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2019-land-rover-discovery-new-discovery-3-0-v6-dse/CL-AD-12719536/?Cr=121
113,2021,Mercedes-Benz X 250D,$40.000.000 CLP,27.000 km,Automática,Diesel,https://www.chileautos.cl/vehiculos/detalles/2021-mercedes-benz-x-250d/CL-AD-12265205/?Cr=122
114,2017,Jeep Wrangler,$31.200.000 CLP,82.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2017-jeep-wrangler/CL-AD-11715475/?Cr=123
115,2018,Mazda Cx-3 2.0 R Auto Skyactive,$17.200.000 CLP,52.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2018-mazda-cx-3-2-0-r-auto-skyactive/CL-AD-7706543/?Cr=124
116,2021,Nissan X-Trail 2.5 CVT Auto Exclusive 4WD,$21.800.000 CLP,13.600 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2021-nissan-x-trail-2-5-cvt-auto-exclusive-4wd/CL-AD-12705925/?Cr=125
117,2001,Lincoln Navigator Lincoln,$8.500.000 CLP,210.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2001-lincoln-navigator-lincoln/CL-AD-12719951/?Cr=127
118,2014,Volvo Xc90 2.5 T5 Auto 4WD,$19.200.000 CLP,105.000 km,Automática,Bencina,https://www.chileautos.cl/vehiculos/detalles/2014-volvo-xc90-2-5-t5-auto-4wd/CL-AD-11710738/?Cr=128
119,2012,BMW 116I,$12.000.000 CLP,125.000 km,Manual,Bencina,https://www.chileautos.cl/vehiculos/detalles/2012-bmw-116i/CL-AD-12581427/?Cr=129
